Snr,Stadtteil,Wohnberechtigte_Bevölkerung,Wohnungen
01,Stadtkern,3793,2232
02,Ostviertel,7028,3843
03,Nordviertel,8843,4269
04,Westviertel,2812,1517
05,Südviertel,11757,7517
06,Südostviertel,12475,7411
11,Huttrop,15280,8440
36,Frillendorf,5794,2956
10,Rüttenscheid,29199,18267
12,Rellinghausen,3744,2159
13,Bergerhausen,11807,6856
14,Stadtwald,10112,5494
07,Altendorf,22005,12189
08,Frohnhausen,32640,19177
09,Holsterhausen,26334,16558
15,Fulerum,3364,1738
28,Haarzopf,6991,3463
41,Margarethenhöhe,7401,3811
16,Schönebeck,9984,5279
17,Bedingrade,12102,6595
18,Frintrop,8686,4864
19,Dellwig,8959,5038
20,Gerschede,7803,4085
21,Borbeck-Mitte,13872,7837
22,Bochold,18003,9650
23,Bergeborbeck,4410,2205
24,Altenessen-Nord,17247,8492
25,Altenessen-Süd,27078,14196
40,Karnap,8248,4066
50,Vogelheim,5825,2810
37,Schonnebeck,11496,5784
38,Stoppenberg,17084,8211
39,Katernberg,23271,11275
34,Steele,16649,9303
35,Kray,19826,10303
45,Freisenbruch,16496,8320
46,Horst,10605,5101
47,Leithe,7028,3408
31,Heisingen,12951,6720
32,Kupferdreh,11657,5980
33,Byfang,2059,1127
43,Überruhr-Hinsel,7997,4198
44,Überruhr-Holthausen,8164,3977
48,Burgaltendorf,9563,4953
26,Bredeney,10756,6129
27,Schuir,1499,672
29,Werden,9923,5578
30,Heidhausen,6595,3134
42,Fischlaken,4409,2314
49,Kettwig,17835,9608
