SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,98,87,100,146,91,378,676,454,436,294,141,116,79,57,43
2,Ostviertel,209,186,227,311,210,720,1161,1008,944,636,299,294,219,191,181
3,Nordviertel,269,233,286,336,214,980,1444,1014,952,667,336,351,258,216,91
4,Westviertel,44,51,44,35,21,148,374,213,210,202,106,112,108,124,211
5,Südviertel,298,215,265,276,206,952,2267,1787,1488,1103,556,493,388,384,321
6,Südostviertel,375,346,341,450,310,1145,2073,1706,1539,1121,587,522,318,286,177
7,Altendorf,637,660,745,908,584,2036,3088,3108,2799,2058,108,1025,731,504,383
8,Frohnhausen,819,742,923,1265,849,2741,48,5106,4639,3405,1825,1715,1155,938,718
9,Holsterhausen,641,489,617,753,456,218,485,3828,3442,2612,1321,1346,988,834,700
10,Rüttenscheid,678,516,675,866,526,1809,4943,4752,3886,3162,1731,1487,1136,103,909
11,Huttrop,341,312,439,577,390,1102,173,2058,221,185,934,971,657,605,493
12,Rellinghausen,59,68,122,132,95,180,320,488,577,447,256,202,175,228,285
13,Bergerhausen,222,252,350,466,326,714,12,1825,186,1497,865,862,551,474,371
14,Stadtwald,213,217,325,409,266,552,861,156,1585,1386,828,671,418,403,435
15,Fulerum,75,70,104,136,80,180,275,521,521,455,296,284,164,103,59
16,Schönebeck,190,217,348,434,282,722,919,1572,1727,1401,753,680,441,310,243
17,Bedingrade,214,266,383,578,379,905,1097,1834,2,17,917,972,587,375,249
18,Frintrop,149,164,287,417,244,628,927,1273,1378,1105,566,641,405,298,212
19,Dellwig,166,223,285,458,341,710,981,139,1505,1195,635,584,381,259,192
20,Gerschede,181,169,219,383,272,651,866,1217,1371,950,484,501,340,209,126
21,Borbeck-Mitte,241,274,407,564,406,114,1554,1898,2186,1667,870,940,649,507,328
22,Bochold,465,451,615,884,687,1584,2082,2406,2839,2283,1088,1078,767,531,290
23,Bergeborbeck,127,132,165,257,172,440,508,596,675,444,203,242,155,116,52
24,Altenessen-Nord,501,482,716,994,633,1507,2011,2446,2566,1984,950,861,652,450,294
25,Altenessen-Süd,796,824,1068,1243,891,2441,3586,364,3657,3118,1408,1233,924,645,466
26,Bredeney,246,211,335,477,311,536,919,1686,1629,1503,886,719,483,419,333
27,Schuir,30,29,41,76,52,89,109,195,257,223,118,116,71,73,52
28,Haarzopf,110,134,201,297,179,357,460,1002,1025,897,580,499,332,282,259
29,Werden,199,219,314,369,219,634,894,1479,146,1327,822,682,413,425,370
30,Heidhausen,117,144,224,290,196,406,467,917,982,936,472,394,259,245,234
31,Heisingen,246,279,395,552,354,701,950,1728,2124,1813,1011,907,646,528,417
32,Kupferdreh,273,259,379,534,388,781,1174,1858,1804,1421,750,626,439,335,342
33,Byfang,39,34,72,81,52,141,166,338,359,312,163,162,76,79,52
34,Steele,364,396,540,762,535,1313,1848,2494,2643,2102,1062,1031,704,649,665
35,Kray,484,480,697,1049,686,1986,24,2985,3034,2028,1036,1072,810,568,339
36,Frillendorf,148,104,174,235,200,495,702,942,1012,751,376,311,213,143,97
37,Schonnebeck,265,302,427,618,436,887,1281,172,1774,1387,567,606,485,377,243
38,Stoppenberg,424,469,708,991,602,1364,1811,2603,2625,2012,922,922,649,419,242
39,Katernberg,640,796,988,1453,912,2169,2723,3391,3489,2502,1131,1209,940,613,400
40,Karnap,214,225,323,459,309,695,854,1278,1303,832,432,404,277,265,167
41,Margarethenhöhe,152,175,237,359,230,566,793,1019,1061,803,542,531,387,339,295
42,Fischlaken,108,129,139,155,132,270,338,655,705,642,349,320,181,150,114
43,Überruhr-Hinsel,125,157,220,362,233,572,665,1083,1326,1086,663,607,448,333,255
44,Überruhr-Holthausen,169,183,286,357,266,552,761,1074,1276,1238,622,552,452,324,252
45,Freisenbruch,461,416,618,812,606,1354,1638,2187,2455,2011,1219,1189,762,545,394
46,Horst,221,234,343,515,380,872,999,138,1649,1473,769,625,382,248,114
47,Leithe,173,166,232,359,248,644,780,936,1026,781,479,551,349,246,114
48,Burgaltendorf,209,197,318,420,264,616,888,143,1608,1396,762,627,406,264,216
49,Kettwig,376,385,561,801,464,944,1448,2721,268,2565,14,1203,872,664,587
50,Vogelheim,156,163,239,369,238,570,641,898,939,728,275,340,253,162,153
