Snr,Stadtteil,Anzahl,Alter_unter_6,Alter_6_bis_10,Alter_ab_11
1,Stadtkern,654,159,165,330
2,Ostviertel,1655,375,459,821
3,Nordviertel,1797,382,499,916
4,Westviertel,707,258,217,232
5,Südviertel,3666,1162,1066,1438
6,Südostviertel,3445,916,1054,1475
11,Huttrop,6012,1929,1760,2323
36,Frillendorf,2535,799,765,971
10,Rüttenscheid,11961,4201,3653,4107
12,Rellinghausen,1827,645,528,654
13,Bergerhausen,5886,2083,1725,2078
14,Stadtwald,5567,2070,1638,1859
7,Altendorf,5985,1507,1638,2840
8,Frohnhausen,11397,3434,3266,4697
9,Holsterhausen,8914,2727,2570,3617
15,Fulerum,1837,693,527,617
28,Haarzopf,3992,1526,1146,1320
41,Margarethenhöhe,3333,1140,963,1230
16,Schönebeck,5347,1970,1595,1782
17,Bedingrade,6507,2361,1917,2229
18,Frintrop,4087,1394,1136,1557
19,Dellwig,4150,1283,1179,1688
20,Gerschede,3815,1283,1159,1373
21,Borbeck-Mitte,5740,1862,1695,2183
22,Bochold,6923,1935,1993,2995
23,Bergeborbeck,1580,442,446,692
24,Altenessen-Nord,6697,1970,1910,2817
25,Altenessen-Süd,8614,2131,2492,3991
40,Karnap,3241,1025,909,1307
50,Vogelheim,2149,588,588,973
37,Schonnebeck,4932,1564,1414,1954
38,Stoppenberg,6992,2203,2115,2674
39,Katernberg,8586,2305,2534,3747
34,Steele,6458,1985,1920,2553
35,Kray,7474,2073,2062,3339
45,Freisenbruch,6637,2084,1958,2595
46,Horst,4542,1512,1336,1694
47,Leithe,2983,936,867,1180
31,Heisingen,7373,2900,2237,2236
32,Kupferdreh,5833,2132,1777,1924
33,Byfang,1280,468,384,428
43,Überruhr-Hinsel,3828,1344,1127,1357
44,Überruhr-Holthausen,3889,1301,1219,1369
48,Burgaltendorf,5604,2246,1730,1628
26,Bredeney,6357,2660,1754,1943
27,Schuir,943,326,271,346
29,Werden,4798,1774,1413,1611
30,Heidhausen,3606,1389,1040,1177
42,Fischlaken,2581,978,749,854
49,Kettwig,9769,3542,2879,3348
