26.06.2017,27.06.2017,28.06.2017,29.06.2017,30.06.2017
Aktienstraße,Arendahls Wiese,Alfredstraße,Ahrfeldstraße,Alfredstraße
Alte Hauptstraße,Bandstraße,Am Uhlenkrug,Aktienstraße,Alte Hauptstraße
Altendorfer Straße,Berthold-Beitz-Boulevard,Arendahls Wiese,Altendorfer Straße,Altendorfer Straße
Altenessener Straße,Bischoffstraße,Baderweg,Am Uhlenkrug,Arenbergstraße
Arenbergstraße,Bismarckstraße,Berliner Straße,Auf dem Holleter,Backwinkelstraße
Beisingstraße,Bottroper Straße,Bodelschwinghstraße,Auf`m Berg,Bergheimer Steig
Bernhardstraße,Brederbachstraße,Bonifaciusstraße,Bergerhauser Straße,Bergheimer Straße
Berthold-Beitz-Boulevard,Bückmannshof,Bottroper Straße,Bonifaciusstraße,Bismarckstraße
Bocholder Straße,Corneliusstraße,Bruchstraße,Brausewindhang,Borbecker  Straße
Bottroper Straße,Dellwiger Straße,Bückmannshof,Breukelmannhof,Bottroper Straße
Brüninghofer Weg,Donnerstraße,Bullmannaue,Dinnendahlstraße,Charlottenstraße
Byfanger Straße,Düppenberg,Distelbeckhof,Eckenbergstraße,Dahlhauser Straße
Charlottenstraße,Emscherstraße,Dollendorfstr.,Elbestraße,Deipenbecktal
Deilbachtal,Essener Straße,Elisabethstraße,Friedrich-Ebert-Straße,Dellmannsweg
Deipenbecktal,Eupenstraße,Ernestinenstraße,Frintroper Straße,Emscherstraße
Elisabethstraße,Flurstraße,Eupenstraße,Frohnhauser Straße,Ernestinenstraße
Eltingstraße,Franziskastraße,Fährenkotten,Grillostraße,Essener Straße
Fischlaker Straße,Friedrichstraße,Frankenstraße,Hans - Böckler - Straße,Fischlaker Straße
Flözstraße,Frintroper Straße,Frillendorfer Straße,Harkortstraße,Frohnhauser Straße
Förderstraße,Fulerumer Straße,Frohnhauser Straße,Heidhauser Straße,Fulerumer Straße
Frintroper Straße,Fürstenbergstraße,Germaniastraße,Heißener Straße,Gelsenkirchener Straße
Germaniastraße,Gelsenkirchener Straße,Gladbecker Straße,Helbingstraße,Germaniastraße
Gladbecker Straße,Gladbecker Straße,Grillostraße,Herbrüggenstraße,Grabenstraße
Hafenstraße,Grabenstraße,Grünstraße,Hespertal,Hallostraße
Haus - Berge - Straße,Graf - Zeppelin - Straße,Hafenstraße,Hindenburgstraße,Hamburger Straße
Heckstraße,Grashofstraße,Hallostraße,Hubertstraße,Hans - Böckler - Straße
Heißener Straße,Hauptstraße,Hausackerstraße,Hundebrinkstraße,Harkortstraße
Hinseler Hof,Haus - Berge - Straße,Heilermannstraße,Joachimstraße,Hatzper Straße
Hülsenbruchstraße,Heisinger Straße,Heisinger Straße,Kampstraße,Helenenstraße
Im Wulve,Hülsmannstraße,Hubertstraße,Kiwittstraße,Heßlerstraße
Johanniskirchstraße,Hüttmannstraße,Hufelandstraße,Langemarckstraße,Horster Straße
Karnaper Straße,Karlstraße,Hugenkamp,Lazarettstraße,Huestraße
Karolingerstraße,Karolingerstraße,Hülsenbruchstraße,Marienstraße,Hülsmannstraße
Katzenbruchstraße,Kleine Hammerstraße,Im Westerbruch,Mathilde-Kaiser-Straße,Karnaper Straße
Lohwiese,Leimgardtsfeld,Joachimstraße,Meisenburgstraße,Kettelerstraße
Maasstraße,Lerchenstraße,Kaninenberghöhe,Mövenstraße,Klapperstraße
Neue Heimat,Lohwiese,Kapitelwiese,Müller - Breslau - Straße,Langenberger Straße
Niederweniger Straße,Müller - Breslau - Straße,Kleine Rahmstraße,Neue Heimat,Lohwiese
Nierenhofer Straße,Norbertstraße,Kleinstraße,Oberhauser Straße,Lübecker Straße
Nöckersberg,Ostpreußenstraße,Lelei,Pookweg,Meisenburgstraße
Oberschlesienstraße,Petzelsberg,Lerchenstraße,Reckhammerweg,Mühlenweg
Schönscheidtstraße,Raadter Straße,Lührmannstraße,Richard - Wagner - Straße,Mülheimer Straße
Schwermannstraße,Rabenhorst,Malmedystraße,Rotthauser Straße,Pörtingsiepen
Stinnesstraße,Rheinstraße,Mülheimer Straße,Ruhrallee,Raadter Straße
Süderichstraße,Ruschenstraße,Münchener Straße,Schederhofstraße,Schloßstraße
Überruhrstraße,Rüttenscheider Straße,Rubensstraße,Schönebecker Straße,Schölerpad
Viehauser Berg,Schloßstraße,Ruhrallee,Schützenbahn,Schuirweg
Vogelheimer Straße,Schmachtenbergstraße,Schalker Straße,Steeler Straße,Schultenweg
Wattenscheider Straße,Schölerpad,Schederhofstraße,Weserstraße,Seumannstraße
Wendelinstraße,Schonnefeldstraße,Stauderstraße,Westfalenstraße,Stoppenberger Straße
Wiehagenstraße,Sommerburgstraße,Stemmering,Wittenbergstraße,Tommesweg
Wildstraße,Tommesweg,Töpferstraße,Wüstenhöferstraße,Twentmannstraße
Zeunerstraße,Unterstraße,Uhlenstraße,Zeunerstraße,Überruhrstraße
Zweigstraße,Ursulastraße,Viktoriastraße,,Viehauser Berg
,Viktoriastraße,Vogelheimer Straße,,Zeunerstraße
,Weidkamp,Wiehagenstraße,,Zollvereinstraße
,Wüstenhöferstraße,Winkhausstraße,,
,Zollvereinstraße,Wittenbergstraße,,
,,Wuppertaler Straße,,
,,Zölestinstraße,,
