"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern","7","8","10","6","8",28,"76,9"
"02","Ostviertel","15","21","25","16","15",34,"72,8"
"03","Nordviertel","12","9","12","9","11",13,"71,2"
"04","Westviertel","8","7","14","10","11",39,"79,3"
"05","Südviertel","7","17","23","11","13",42,"76,8"
"06","Südostviertel","9","22","24","10","11",16,"69,2"
"11","Huttrop","10","13","30","28","27",78,"78,9"
"36","Frillendorf","5","14","17","8","8",8,"71,4"
"10","Rüttenscheid","18","32","51","56","64",158,"79,6"
"12","Rellinghausen",".","6","9",".","5",62,"84,3"
"13","Bergerhausen","6","18","26","25","29",66,"78,7"
"14","Stadtwald",".","9","17",".","13",74,"82,1"
"07","Altendorf","26","24","51","38","39",60,"74,6"
"08","Frohnhausen","31","40","64","59","47",117,"76,1"
"09","Holsterhausen","16","20","49","46","28",102,"78,2"
"15","Fulerum",".",".","8","8","5",14,"78,3"
"28","Haarzopf",".",".","20","22","15",45,"79,2"
"41","Margarethenhöhe","5","4","11","14","14",40,"80,9"
"16","Schönebeck","7","12","18","17","21",43,"78,6"
"17","Bedingrade","13","25","31","28","22",44,"74,7"
"18","Frintrop","5","12","24","27","15",45,"77,8"
"19","Dellwig","11","8","26","26","26",41,"77,2"
"20","Gerschede","5","7","13","25","13",18,"75,5"
"21","Borbeck-Mitte","17","21","22","37","15",52,"74,8"
"22","Bochold","13","22","57","37","33",52,"75,5"
"23","Bergeborbeck","6","9","10","11","3",9,"71,0"
"24","Altenessen-Nord","11","29","37","31","34",45,"74,7"
"25","Altenessen-Süd","24","41","66","71","55",102,"76,4"
"40","Karnap","11","15","19","27","10",23,"73,7"
"50","Vogelheim","7","10","13","24","22",41,"78,8"
"37","Schonnebeck","11","18","26","38","21",44,"75,8"
"38","Stoppenberg","13","30","46","52","35",48,"75,0"
"39","Katernberg","17","31","42","63","49",61,"75,7"
"34","Steele","16","23","53","43","48",147,"80,2"
"35","Kray","19","23","42","50","33",66,"75,9"
"45","Freisenbruch","19","26","47","41","19",76,"75,3"
"46","Horst","5","14","21","21","14",12,"73,0"
"47","Leithe","7","8","13","24","15",13,"73,3"
"31","Heisingen","8","6","19","34","25",84,"81,3"
"32","Kupferdreh","7","17","31","21","21",66,"79,2"
"33","Byfang",".","-","3",".","4",8,"81,8"
"43","Überruhr-Hinsel","7","9","29","28","17",50,"78,1"
"44","Überruhr-Holthausen","12","8","24","32","19",58,"78,1"
"48","Burgaltendorf",".","6","21",".","8",21,"76,5"
"26","Bredeney",".","5","16","21",".",53,"80,7"
"27","Schuir","-","5",".","4",".",9,"76,9"
"29","Werden","8","11","29","19","14",64,"79,2"
"30","Heidhausen","5","9","15","20","14",37,"78,8"
"42","Fischlaken",".","3",".","8","6",10,"77,6"
"49","Kettwig","8","15","47","55","42",111,"80,6"
