"Snr","Stadtteil","männlich","weiblich","ehelich","nicht ehelich"
"01","Stadtkern",27,23,38,12
"02","Ostviertel",44,29,50,23
"03","Nordviertel",33,50,59,24
"04","Westviertel",9,9,15,3
"05","Südviertel",64,50,84,30
"06","Südostviertel",64,65,93,36
"11","Huttrop",62,52,85,29
"36","Frillendorf",26,26,37,15
"10","Rüttenscheid",122,130,194,58
"12","Rellinghausen",12,9,17,4
"13","Bergerhausen",35,30,49,16
"14","Stadtwald",40,36,61,15
"07","Altendorf",134,121,176,79
"08","Frohnhausen",163,148,214,97
"09","Holsterhausen",110,104,150,64
"15","Fulerum",7,15,,
"28","Haarzopf",19,16,,
"41","Margarethenhöhe",17,19,29,7
"16","Schönebeck",30,28,45,13
"17","Bedingrade",29,31,48,12
"18","Frintrop",21,24,27,18
"19","Dellwig",24,30,33,21
"20","Gerschede",28,27,39,16
"21","Borbeck-Mitte",43,41,57,27
"22","Bochold",88,77,109,56
"23","Bergeborbeck",18,20,24,14
"24","Altenessen-Nord",80,86,122,44
"25","Altenessen-Süd",167,116,207,76
"40","Karnap",42,35,54,23
"50","Vogelheim",33,18,32,19
"37","Schonnebeck",46,47,70,23
"38","Stoppenberg",67,72,100,39
"39","Katernberg",115,106,151,70
"34","Steele",51,67,69,49
"35","Kray",80,85,121,44
"45","Freisenbruch",88,66,110,44
"46","Horst",35,30,53,12
"47","Leithe",29,34,39,24
"31","Heisingen",33,35,53,15
"32","Kupferdreh",55,40,76,19
"33","Byfang",,,,
"43","Überruhr-Hinsel",,,,
"44","Überruhr-Holthausen",25,31,46,10
"48","Burgaltendorf",29,33,51,11
"26","Bredeney",39,43,62,20
"27","Schuir",6,8,9,5
"29","Werden",32,41,56,17
"30","Heidhausen",20,16,33,3
"42","Fischlaken",17,15,27,5
"49","Kettwig",60,55,100,15
