"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern",23,21,31,13
"02","Ostviertel",34,31,45,20
"03","Nordviertel",41,43,51,33
"04","Westviertel",9,11,14,6
"05","Südviertel",68,67,95,40
"06","Südostviertel",60,65,82,43
"11","Huttrop",49,59,75,33
"36","Frillendorf",22,27,32,17
"10","Rüttenscheid",135,129,202,62
"12","Rellinghausen",8,9,12,5
"13","Bergerhausen",36,43,59,20
"14","Stadtwald",35,30,48,17
"07","Altendorf",128,106,134,100
"08","Frohnhausen",156,126,175,107
"09","Holsterhausen",123,129,157,95
"15","Fulerum",15,10,21,4
"28","Haarzopf",17,14,26,5
"41","Margarethenhöhe",22,23,35,10
"16","Schönebeck",42,27,54,15
"17","Bedingrade",47,44,69,22
"18","Frintrop",17,34,32,19
"19","Dellwig",35,28,39,24
"20","Gerschede",32,30,44,18
"21","Borbeck-Mitte",37,45,51,31
"22","Bochold",77,59,102,34
"23","Bergeborbeck",25,16,20,21
"24","Altenessen-Nord",85,79,114,50
"25","Altenessen-Süd",128,129,163,94
"40","Karnap",33,37,42,28
"50","Vogelheim",23,31,29,25
"37","Schonnebeck",53,37,62,28
"38","Stoppenberg",69,80,108,41
"39","Katernberg",104,112,156,60
"34","Steele",67,68,87,48
"35","Kray",90,72,101,61
"45","Freisenbruch",66,66,82,50
"46","Horst",43,40,56,27
"47","Leithe",27,25,37,15
"31","Heisingen",33,36,57,12
"32","Kupferdreh",58,35,70,23
"33","Byfang",8,4,9,3
"43","Überruhr-Hinsel",15,26,34,7
"44","Überruhr-Holthausen",33,22,46,9
"48","Burgaltendorf",38,36,59,15
"26","Bredeney",34,32,51,15
"27","Schuir",5,6,11,-
"29","Werden",39,33,59,13
"30","Heidhausen",16,21,29,8
"42","Fischlaken",26,16,34,8
"49","Kettwig",66,66,99,33
