"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"02","Ostviertel",NA,39,44,"31"
"03","Nordviertel",NA,41,58,"32"
"04","Westviertel",NA,4,11,"6"
"05","Südviertel",NA,63,79,"33"
"06","Südostviertel",NA,46,69,"45"
"11","Huttrop",NA,49,88,"25"
"36","Frillendorf",NA,23,30,"25"
"10","Rüttenscheid",NA,149,201,"74"
"12","Rellinghausen",NA,10,18,"6"
"13","Bergerhausen",NA,36,62,"19"
"14","Stadtwald",NA,33,62,"13"
"07","Altendorf",NA,130,152,"87"
"08","Frohnhausen",NA,132,165,"107"
"09","Holsterhausen",NA,81,149,"56"
"15","Fulerum",9,13,18,"4"
"28","Haarzopf",NA,17,31,"5"
"41","Margarethenhöhe",NA,16,33,"12"
"16","Schönebeck",NA,35,60,"15"
"17","Bedingrade",NA,28,33,"22"
"18","Frintrop",NA,29,31,"23"
"19","Dellwig",NA,31,42,"17"
"20","Gerschede",NA,35,47,"19"
"21","Borbeck-Mitte",NA,54,77,"25"
"22","Bochold",NA,80,120,"55"
"23","Bergeborbeck",NA,26,22,"24"
"24","Altenessen-Nord",NA,52,90,"35"
"25","Altenessen-Süd",NA,145,180,"106"
"40","Karnap",NA,36,39,"23"
"50","Vogelheim",NA,29,34,"23"
"37","Schonnebeck",NA,51,73,"24"
"38","Stoppenberg",NA,69,91,"44"
"39","Katernberg",NA,106,142,"74"
"34","Steele",NA,57,76,"35"
"35","Kray",NA,81,96,"59"
"45","Freisenbruch",NA,62,75,"43"
"46","Horst",NA,32,41,"16"
"47","Leithe",NA,22,29,"13"
"31","Heisingen",NA,42,64,"17"
"32","Kupferdreh",NA,30,57,"15"
"33","Byfang",3,9,9,"3"
"43","Überruhr-Hinsel",NA,18,27,"15"
"44","Überruhr-Holthausen",NA,30,39,"13"
"48","Burgaltendorf",NA,38,53,"11"
"26","Bredeney",NA,30,67,"13"
"27","Schuir",5,6,11,"-"
"29","Werden",NA,31,40,"15"
"30","Heidhausen",NA,12,21,"11"
"42","Fischlaken",NA,14,24,"9"
"49","Kettwig",NA,57,91,"32"
"1)"," ohne Geborene von Müttern mit Hauptwohnsitz außerhalb von Essen",NA,NA,NA,""
