"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1734,487,1347
"02","Ostviertel",3855,840,1911
"03","Nordviertel",4318,1242,2472
"04","Westviertel",1349,222,516
"05","Südviertel",8244,1011,2012
"06","Südostviertel",7485,1366,2847
"11","Huttrop",11591,1304,1943
"36","Frillendorf",4626,468,621
"10","Rüttenscheid",24315,153,2523
"12","Rellinghausen",3278,137,268
"13","Bergerhausen",10384,491,630
"14","Stadtwald",9392,286,301
"07","Altendorf",13114,2559,5274
"08","Frohnhausen",24617,2546,4319
"09","Holsterhausen",19685,2044,3554
"15","Fulerum",3107,110,100
"28","Haarzopf",6209,170,234
"41","Margarethenhöhe",6527,409,441
"16","Schönebeck",9149,416,384
"17","Bedingrade",11038,590,425
"18","Frintrop",7691,428,523
"19","Dellwig",7783,694,547
"20","Gerschede",6507,748,414
"21","Borbeck-Mitte",11508,1103,1133
"22","Bochold",1291,2323,2401
"23","Bergeborbeck",3173,464,690
"24","Altenessen-Nord",11946,2201,2715
"25","Altenessen-Süd",17056,3943,465
"40","Karnap",6012,808,948
"50","Vogelheim",4003,889,980
"37","Schonnebeck",8804,1129,1305
"38","Stoppenberg",12512,2458,1947
"39","Katernberg",1585,3069,3995
"34","Steele",13635,137,1698
"35","Kray",14953,1481,2621
"45","Freisenbruch",12646,2284,1299
"46","Horst",7517,1494,731
"47","Leithe",5623,491,723
"31","Heisingen",11985,395,384
"32","Kupferdreh",9947,568,745
"33","Byfang",1941,39,41
"43","Überruhr-Hinsel",7203,421,422
"44","Überruhr-Holthausen",6706,944,563
"48","Burgaltendorf",8955,223,335
"26","Bredeney",9519,476,571
"27","Schuir",1336,65,76
"29","Werden",8667,331,713
"30","Heidhausen",5957,215,276
"42","Fischlaken",4125,116,129
"49","Kettwig",16039,620,874
