Snr,Stadtteil,Stadtbezirk
01,Stadtkern,1
02,Ostviertel,1
03,Nordviertel,1
04,Westviertel,1
05,Südviertel,1
06,Südostviertel,1
11,Huttrop,1
36,Frillendorf,1
10,Rüttenscheid,2
12,Rellinghausen,2
13,Bergerhausen,2
14,Stadtwald,2
07,Altendorf,3
08,Frohnhausen,3
09,Holsterhausen,3
15,Fulerum,3
28,Haarzopf,3
41,Margarethenhöhe,3
16,Schönebeck,4
17,Bedingrade,4
18,Frintrop,4
19,Dellwig,4
20,Gerschede,4
21,Borbeck-Mitte,4
22,Bochold,4
23,Bergeborbeck,4
24,Altenessen-Nord,5
25,Altenessen-Süd,5
40,Karnap,5
50,Vogelheim,5
37,Schonnebeck,6
38,Stoppenberg,6
39,Katernberg,6
34,Steele,7
35,Kray,7
45,Freisenbruch,7
46,Horst,7
47,Leithe,7
31,Heisingen,8
32,Kupferdreh,8
33,Byfang,8
43,Überruhr-Hinsel,8
44,Überruhr-Holthausen,8
48,Burgaltendorf,8
26,Bredeney,9
27,Schuir,9
29,Werden,9
30,Heidhausen,9
42,Fischlaken,9
49,Kettwig,9
