name,count,gender
Marie,94,w
Sophie,79,w
Maria,69,w
Elias,69,m
Noah,57,m
Alexander,57,m
Ben,53,m
Leon,52,m
Sophia,50,w
Emilia,48,w
Maximilian,48,m
Mia,42,w
Emma,41,w
Mila,41,w
Paul,40,m
Felix,40,m
Lina,39,w
Charlotte,38,w
Emil,38,m
Lena,36,w
Johanna,36,w
Emily,35,w
Luca,35,m
Jan,35,m
Leonard,33,m
Jonas,32,m
Anna,32,w
Liam,31,m
Louis,30,m
David,29,m
Henri,28,m
Jonathan,28,m
Milan,27,m
Lukas,26,m
Luis,26,m
Mohamed,25,m
Samuel,24,m
Julian,24,m
Hamza,24,m
Marlene,23,w
Luise,23,w
Hannah,23,w
Ali,22,m
Adam,22,m
Max,22,m
Luisa,22,w
Lotta,22,w
Katharina,22,w
Greta,21,w
Lara,21,w
Leonie,21,w
Tom,20,m
Amelie,20,w
Ida,20,w
Lea,20,w
Leni,20,w
Nele,20,w
Finn,20,m
Jakob,20,m
Alessio,19,m
Michael,19,m
Elisabeth,19,w
Leo,19,m
Sara,19,w
Omar,19,m
Theo,19,m
Mohammad,18,m
Sofia,18,w
Moritz,17,m
Clara,17,w
Elisa,17,w
Phil,17,m
Philipp,17,m
Mohammed,17,m
Julius,17,m
Daniel,17,m
Anton,17,m
Malik,16,m
Henry,16,m
Gabriel,16,m
Erik,16,m
Amir,16,m
Mira,16,w
Hanna,16,w
Joel,16,m
Vincent,15,m
Josephine,15,w
Maya,15,w
Nur,15,w
Romy,15,w
Matteo,15,m
Fabian,15,m
Elif,14,w
Helena,14,w
Julia,14,w
Matilda,14,w
Oskar,14,m
Mats,14,m
Fynn,14,m
Mathilda,14,w
Niklas,13,m
Ella,13,w
Frieda,13,w
Laura,13,w
Mara,13,w
Victoria,13,w
Tim,13,m
Karl,13,m
Ibrahim,13,m
Johannes,13,m
Amira,12,w
Lilly,12,w
Louisa,12,w
Melina,12,w
Pauline,12,w
Mustafa,12,m
Benjamin,12,m
Nick,12,m
Valentin,12,m
Oliver,12,m
Yasin,12,m
Emir,12,m
Henrik,12,m
Ilyas,12,m
Mika,12,m
Adrian,11,m
Ahmad,11,m
Amin,11,m
Jayden,11,m
Justus,11,m
Linus,11,m
Luke,11,m
Theodor,11,m
Till,11,m
Damian,11,m
Valentina,11,w
Mariam,11,w
Jana,11,w
Fiona,11,w
Alexandra,11,w
Benedikt,10,m
Viktoria,10,w
Jasmin,10,w
Lisa,10,w
Paula,10,w
Zoey,10,w
Emanuel,10,m
Robin,10,m
Isabella,10,w
Noel,10,m
Maxim,10,m
Marlon,10,m
Joshua,10,m
Florian,10,m
Andreas,10,m
Antonia,10,w
Isabel,9,w
Frida,9,w
Dean,9,m
Bruno,9,m
Josefine,9,w
