"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",39,-40,-93
"02","Ostviertel",88,-1,-5
"03","Nordviertel",155,15,14
"04","Westviertel",50,32,122
"05","Südviertel",30,1,-14
"06","Südostviertel",-2,-83,-88
"11","Huttrop",-17,74,-15
"36","Frillendorf",-14,2,-72
"10","Rüttenscheid",153,-66,59
"12","Rellinghausen",12,29,9
"13","Bergerhausen",-28,1,28
"14","Stadtwald",-46,36,18
"07","Altendorf",137,-63,-143
"08","Frohnhausen",143,54,-103
"09","Holsterhausen",-11,-38,30
"15","Fulerum",-10,19,9
"28","Haarzopf",-7,6,-61
"41","Margarethenhöhe",-29,22,39
"16","Schönebeck",5,17,38
"17","Bedingrade",-60,43,-18
"18","Frintrop",-65,-11,30
"19","Dellwig",-79,10,32
"20","Gerschede",-32,-20,21
"21","Borbeck-Mitte",-93,49,47
"22","Bochold",-104,-25,43
"23","Bergeborbeck",16,-63,3
"24","Altenessen-Nord",-25,139,21
"25","Altenessen-Süd",57,-158,-241
"40","Karnap",-78,25,-5
"50","Vogelheim",-1,-6,86
"37","Schonnebeck",-14,-95,-50
"38","Stoppenberg",-37,35,127
"39","Katernberg",-62,60,-193
"34","Steele",33,-4,73
"35","Kray",55,-55,-69
"45","Freisenbruch",-62,55,-9
"46","Horst",-2,-73,-24
"47","Leithe",-3,77,-24
"31","Heisingen",-89,36,35
"32","Kupferdreh",-5,-37,29
"33","Byfang",-3,9,2
"43","Überruhr-Hinsel",-1,-3,-58
"44","Überruhr-Holthausen",-40,,66
"48","Burgaltendorf",-33,-5,35
"26","Bredeney",24,6,86
"27","Schuir",-2,-8,-8
"29","Werden",-55,-59,73
"30","Heidhausen",-25,52,30
"42","Fischlaken",-56,-16,5
"49","Kettwig",-39,25,83
